timestamp,SCALED_IMU2.time_boot_ms,SCALED_IMU2.xacc,SCALED_IMU2.yacc,SCALED_IMU2.zacc,SCALED_IMU2.xgyro,SCALED_IMU2.ygyro,SCALED_IMU2.zgyro,SCALED_IMU2.xmag,SCALED_IMU2.ymag,SCALED_IMU2.zmag,SCALED_IMU2.temperature
1437196014.00297189,191438,48,2,-1000,18,-17,0,117,227,-548,0
1437196014.36918783,191760,45,1,-992,16,-15,5,116,230,-547,0
1437196014.60818386,192082,38,0,-1002,17,-14,5,115,228,-539,0
1437196014.87540793,192404,49,-2,-1000,15,-7,4,116,226,-544,0
1437196015.21549582,192725,41,-7,-994,15,-20,9,116,230,-547,0
1437196015.45357990,193046,37,-5,-990,16,-18,2,116,228,-541,0
1437196015.80677605,193368,42,-5,-1001,13,-11,5,117,228,-549,0
1437196016.21986389,193689,36,-4,-997,13,-14,11,116,230,-546,0
1437196016.56503987,194012,32,-4,-995,17,-13,7,117,229,-541,0
1437196016.95016789,194334,36,0,-993,20,-13,7,117,229,-549,0
1437196017.28432393,194655,48,-5,-999,15,-14,9,114,229,-546,0
1437196017.52261186,194976,46,-8,-1004,22,-24,9,118,226,-549,0
1437196017.90867186,195298,37,-3,-995,12,-14,7,118,226,-542,0
1437196018.12773991,195620,43,-2,-985,17,-17,3,115,230,-544,0
1437196018.54091191,195942,38,-2,-999,13,-12,9,118,227,-550,0
1437196018.77095199,196263,41,-2,-993,12,-11,9,117,226,-542,0
1437196019.11812401,196584,39,-3,-989,15,-13,10,117,227,-545,0
1437196019.36934805,196906,41,-14,-1003,13,-20,7,118,227,-548,0
1437196019.61337996,197227,40,-7,-996,17,-13,4,114,227,-542,0
1437196019.95846796,197549,36,-1,-995,15,-12,7,117,227,-549,0
1437196020.22159982,197870,31,-11,-994,13,-17,4,118,227,-548,0
1437196020.63084793,198191,34,-5,-994,18,-16,7,116,231,-546,0
1437196020.91291189,198512,33,-4,-995,14,-13,1,117,226,-546,0
1437196021.25606799,198834,40,-11,-988,13,-17,9,118,225,-548,0
1437196021.66617584,199156,41,-7,-998,13,-26,8,116,229,-547,0
1437196022.01748800,199477,43,-8,-989,20,-11,6,117,226,-544,0
1437196022.44343996,199799,40,-15,-1005,16,-9,13,115,229,-541,0
1437196022.68258786,200121,40,-6,-986,17,-16,10,116,230,-545,0
1437196022.91263604,200443,46,-6,-997,15,-17,6,117,226,-545,0
1437196023.32726789,200765,31,-4,-991,17,-18,13,117,228,-541,0
1437196023.73143983,201086,37,-3,-994,17,-12,10,116,230,-546,0
1437196024.08513999,201408,31,-4,-994,25,-21,13,117,226,-549,0
1437196024.43550801,201729,41,-3,-995,7,-2,3,116,230,-547,0
