timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195969.91136384,147440,-352080884,1490435201,1690,1690,-25,-21,0,31801
1437195970.36263990,147822,-352080881,1490435206,1680,1680,-25,-21,0,31801
1437195970.63572788,148224,-352080881,1490435205,1690,1690,-25,-21,0,31799
1437195971.04684401,148425,-352080879,1490435209,1680,1680,-24,-21,0,31799
1437195971.39813185,148827,-352080880,1490435210,1700,1700,-23,-21,1,31796
1437195971.64210796,149028,-352080886,1490435213,1710,1710,-23,-21,1,31795
1437195972.07137990,149430,-352080894,1490435220,1740,1740,-23,-21,2,31795
1437195972.33143997,149832,-352080889,1490435220,1750,1750,-24,-21,2,31795
1437195972.73777199,150033,-352080896,1490435222,1760,1760,-23,-21,2,31794
1437195973.05385590,150435,-352080905,1490435226,1770,1770,-22,-20,3,31793
1437195973.29680800,150636,-352080902,1490435231,1770,1770,-22,-20,3,31793
1437195973.56508803,151038,-352080906,1490435229,1760,1760,-23,-20,2,31793
1437195973.87912393,151440,-352080901,1490435228,1760,1760,-22,-20,2,31793
1437195974.23419595,151641,-352080894,1490435228,1790,1790,-22,-20,3,31792
1437195974.64946795,152022,-352080909,1490435229,1810,1810,-22,-20,4,31791
1437195974.91554785,152223,-352080914,1490435232,1840,1840,-22,-19,4,31789
1437195975.18969584,152424,-352080918,1490435233,1840,1840,-22,-19,3,31789
1437195975.49477983,152826,-352080913,1490435233,1840,1840,-22,-20,3,31787
1437195975.74266386,153028,-352080917,1490435236,1840,1840,-22,-19,3,31787
1437195976.15520382,153429,-352080915,1490435241,1870,1870,-21,-19,4,31786
1437195976.39501595,153631,-352080895,1490435237,1880,1880,-20,-19,3,31785
1437195976.63587189,153832,-352080895,1490435235,1880,1880,-21,-19,3,31784
1437195977.04641604,154233,-352080889,1490435240,1900,1900,-20,-20,4,31783
1437195977.40079594,154434,-352080886,1490435241,1920,1920,-19,-20,4,31783
1437195977.63480401,154835,-352080885,1490435241,1930,1930,-19,-20,4,31781
1437195977.87985182,155036,-352080884,1490435244,1940,1940,-18,-19,4,31782
1437195978.27589202,155237,-352080876,1490435247,1940,1940,-18,-20,4,31781
1437195978.50404000,155640,-352080863,1490435249,1940,1940,-18,-20,3,31781
1437195978.84564805,155820,-352080866,1490435250,1930,1930,-18,-20,2,31781
1437195979.25849199,156242,-352080853,1490435256,1910,1910,-17,-19,1,31782
1437195979.49759603,156623,-352080849,1490435264,1880,1880,-17,-19,1,31784
1437195979.82367182,156824,-352080856,1490435264,1870,1870,-18,-19,0,31782
1437195980.09067202,157227,-352080870,1490435260,1860,1860,-18,-19,0,31781
1437195980.36774397,157629,-352080867,1490435261,1850,1850,-17,-19,0,31780
1437195980.71196389,158031,-352080873,1490435263,1820,1820,-18,-19,-1,31779
1437195980.95626402,158433,-352080888,1490435275,1820,1820,-17,-19,0,31777
1437195981.39032388,158633,-352080898,1490435279,1800,1800,-18,-19,-1,31778
