timestamp,SCALED_PRESSURE.time_boot_ms,SCALED_PRESSURE.press_abs,SCALED_PRESSURE.press_diff,SCALED_PRESSURE.temperature,SCALED_PRESSURE.temperature_press_diff
1437197735.45041203,352059,960.8283081054688,0.07453124970197678,3857,0
1437197735.85268784,352423,960.8399658203125,0.08617187291383743,3856,0
1437197736.27092004,352784,960.8184814453125,0.06468749791383743,3855,0
1437197736.64102793,353145,960.8342895507812,0.08046875149011612,3853,0
1437197736.92524385,353507,960.8413696289062,0.08757812529802322,3853,0
1437197737.31377602,353867,960.8212280273438,0.06742187589406967,3850,0
1437197737.75641584,354228,960.8148803710938,0.06109374761581421,3848,0
1437197738.09573197,354590,960.7855834960938,0.03179687261581421,3846,0
1437197738.39339590,354950,960.795654296875,0.041874997317790985,3846,0
1437197738.87802386,355272,960.7774658203125,0.023671874776482582,3845,0
1437197739.10521603,355593,960.787109375,0.033281248062849045,3842,0
1437197739.33419204,355914,960.7811279296875,0.02734375,3839,0
1437197739.68131590,356196,960.7770385742188,0.023203125223517418,3838,0
1437197740.03742790,356476,960.7456665039062,-0.008124999701976776,3836,0
1437197740.36271596,356756,960.7542114257812,0.00039062497671693563,3835,0
1437197740.61868000,357039,960.7514038085938,-0.0024218750186264515,3831,0
1437197740.95993996,357319,960.7556762695312,0.0018749999580904841,3830,0
1437197741.29713202,357603,960.7612915039062,0.007499999832361937,3828,0
1437197741.68132782,357884,960.7913818359375,0.037578124552965164,3827,0
1437197741.92333984,358168,960.78662109375,0.03281249850988388,3825,0
1437197742.26643586,358451,960.796630859375,0.04281250014901161,3821,0
1437197742.68185186,358774,960.8042602539062,0.050468750298023224,3820,0
1437197743.03972793,359096,960.8013916015625,0.0475781224668026,3816,0
1437197743.30551600,359418,960.79248046875,0.03867187350988388,3811,0
1437197743.65809989,359738,960.8084716796875,0.0546875,3809,0
1437197744.03230405,360098,960.7984008789062,0.044609375298023224,3805,0
1437197744.27623582,360460,960.7927856445312,0.03898437321186066,3803,0
1437197744.62046385,360821,960.7827758789062,0.028984373435378075,3799,0
1437197745.07395196,361181,960.8013916015625,0.0475781224668026,3796,0
1437197745.31877184,361540,960.7882690429688,0.034453123807907104,3792,0
1437197745.52896404,361900,960.7942504882812,0.04046874865889549,3791,0
1437197745.77295589,362260,960.8182373046875,0.064453125,3787,0
1437197746.06521583,362622,960.7999877929688,0.046171873807907104,3782,0
1437197746.37073183,362981,960.7813110351562,0.027499999850988388,3780,0
1437197746.97243190,363303,960.7827758789062,0.028984373435378075,3779,0
1437197747.24875593,363624,960.7969970703125,0.04320312291383743,3774,0
1437197747.42585993,363944,960.7698974609375,0.016093749552965164,3772,0
1437197747.78786802,364264,960.7649536132812,0.011171874590218067,3770,0
1437197748.17783594,364585,960.7449951171875,-0.008828124962747097,3767,0
1437197748.41720796,364905,960.7156982421875,-0.03812500089406967,3765,0
1437197748.86330390,365230,960.7161254882812,-0.03765624761581421,3761,0
1437197749.27763605,365552,960.7056274414062,-0.04820312559604645,3757,0
1437197749.64765596,365875,960.6741943359375,-0.07960937172174454,3754,0
1437197749.89687991,366195,960.6714477539062,-0.08234374970197678,3753,0
1437197750.31194401,366515,960.67138671875,-0.08242187649011612,3750,0
1437197750.71830392,366836,960.6499633789062,-0.10382812470197678,3746,0
1437197751.00225186,367156,960.6585693359375,-0.09523437172174454,3743,0
1437197751.33038783,367476,960.6471557617188,-0.10664062201976776,3741,0
1437197751.69758797,367838,960.6499633789062,-0.10382812470197678,3738,0
1437197752.21179199,368198,960.683349609375,-0.07046874612569809,3736,0
1437197752.54097605,368560,960.6812133789062,-0.07257812470197678,3732,0
1437197752.87482786,368963,960.6655883789062,-0.08820312470197678,3729,0
1437197753.21220803,369364,960.6432495117188,-0.11054687201976776,3725,0
1437197753.62639999,369766,960.6200561523438,-0.13374999165534973,3723,0
