timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437196016.32278800,5175,5530,3
1437196016.57792401,5144,5527,3
1437196016.98415589,5156,5527,3
1437196017.31925988,5169,5527,3
1437196017.59747982,5170,5539,3
1437196017.92152786,5144,5520,3
1437196018.15258789,5143,5525,3
1437196018.56577992,5175,5532,3
1437196018.83597994,5182,5527,3
1437196019.13104391,5149,5530,3
1437196019.39320397,5169,5530,3
1437196019.74528384,5182,5527,3
1437196019.98340392,5162,5530,3
1437196020.28564000,5169,5542,3
1437196020.66979194,5182,5527,3
1437196020.93880391,5157,5525,3
1437196021.32153201,5177,5530,3
1437196021.70609999,5194,5532,3
1437196022.16242003,5169,5527,3
1437196022.46861196,5169,5525,3
1437196022.70655203,5156,5522,3
1437196022.97781205,5177,5539,3
1437196023.36292005,5162,5527,3
1437196023.77472782,5156,5530,3
1437196024.18753600,5151,5530,3
1437196024.44824386,5162,5522,3
1437196024.76467991,5143,5527,3
1437196025.04554796,5182,5534,3
1437196025.36459184,5143,5546,3
1437196025.60471582,5149,5532,3
1437196025.87187195,5170,5532,3
1437196026.29807997,5136,5532,3
1437196026.60410404,5182,5546,3
1437196026.85094404,5177,5546,3
1437196027.29046392,5143,5549,3
1437196027.70351195,5156,5527,3
1437196027.97666788,5188,5527,3
1437196028.35703588,5162,5527,3
1437196028.67306399,5156,5527,3
1437196028.91813993,5188,5520,3
1437196029.56738400,5133,5527,3
1437196029.97955990,5125,5527,3
1437196030.42463183,5175,5525,3
1437196030.74013996,5149,5532,3
1437196030.97884798,5157,5522,3
1437196031.33712792,5175,5525,3
1437196031.56987190,5175,5530,3
1437196031.81640387,5172,5530,3
1437196032.09338784,5144,5530,3
1437196032.46553993,5136,5530,3
1437196032.91866398,5188,5546,3
1437196033.33091187,5169,5525,3
1437196033.74119592,5169,5527,3
1437196034.32438397,5162,5527,3
1437196034.73972392,5172,5527,3
1437196035.26081204,5169,5527,3
1437196035.57493997,5162,5527,3
1437196035.98036385,5175,5527,3
1437196036.26415205,5157,5525,3
1437196036.53050399,5194,5530,3
1437196036.77721596,5169,5530,3
1437196037.08736396,5144,5527,3
1437196037.40247989,5162,5532,3
1437196037.75479603,5172,5525,3
1437196038.01573992,5157,5525,3
1437196038.32294798,5185,5530,3
1437196038.67211199,5169,5537,3
1437196039.08729196,5138,5520,3
1437196039.50148797,5162,5527,3
1437196039.91561198,5143,5522,3
1437196040.29387999,5169,5532,3
1437196040.60682797,5136,5527,3
1437196040.92003202,5188,5525,3
1437196041.20220399,5169,5522,3
1437196041.48229599,5144,5527,3
1437196041.71441603,5169,5527,3
1437196041.99554396,5182,5527,3
1437196042.40279198,5138,5525,3
1437196042.81713986,5143,5522,3
1437196043.26798391,5175,5530,3
1437196043.57507205,5164,5530,3
1437196043.84734392,5149,5525,3
1437196044.09641194,5183,5530,3
1437196044.43294382,5136,5530,3
1437196044.75661182,5170,5530,3
1437196045.13174391,5172,5525,3
1437196045.54543996,5132,5527,3
1437196045.95544004,5194,5532,3
1437196046.37927198,5156,5530,3
1437196046.78545594,5162,5527,3
1437196047.09356403,5149,5530,3
1437196047.37380004,5143,5527,3
1437196047.82795596,5177,5527,3
1437196048.13962388,5146,5530,3
1437196048.43150783,5156,5530,3
1437196048.81536794,5177,5525,3
1437196049.07611203,5159,5527,3
1437196049.33848786,5169,5525,3
1437196049.68362403,5159,5530,3
1437196049.91275597,5162,5525,3
1437196050.23391604,5156,5530,3
1437196050.64717197,5169,5525,3
1437196050.89215183,5201,5525,3
1437196051.33038402,5169,5525,3
1437196051.64766002,5151,5534,3
1437196051.88460398,5136,5522,3
1437196052.47381592,5149,5525,3
1437196052.71499205,5169,5534,3
1437196052.96109605,5162,5527,3
1437196053.37622404,5177,5530,3
1437196053.78171992,5124,5530,3
1437196054.30662394,5162,5530,3
1437196054.61281991,5170,5530,3
1437196055.05594802,5169,5527,3
1437196055.40305996,5170,5532,3
1437196055.64745593,5169,5525,3
1437196056.05833197,5194,5527,3
1437196056.47265983,5136,5527,3
1437196056.88570786,5156,5532,3
1437196057.14509583,5170,5527,3
1437196057.40902805,5130,5520,3
1437196057.75108790,5169,5530,3
1437196058.33642793,5170,5527,3
1437196058.75154805,5138,5527,3
1437196059.09863997,5170,5527,3
1437196059.57681990,5162,5530,3
1437196059.95190787,5156,5527,3
1437196060.44516397,5170,5525,3
1437196060.85459590,5170,5525,3
1437196061.23446393,5149,5525,3
1437196061.64670396,5130,5527,3
1437196062.05979204,5175,5525,3
1437196062.47397590,5138,5530,3
1437196062.79709601,5156,5530,3
1437196063.13625193,5185,5527,3
1437196063.47952795,5169,5527,3
1437196063.75061989,5156,5530,3
1437196064.06676388,5194,5530,3
1437196064.54493999,5169,5520,3
1437196064.96106386,5194,5527,3
1437196065.30713987,5138,5525,3
1437196065.54828787,5136,5530,3
1437196065.99457192,5169,5525,3
1437196066.34072399,5149,5522,3
1437196066.58272791,5143,5527,3
1437196066.82880402,5153,5530,3
1437196067.26701999,5175,5530,3
1437196067.58312392,5170,5527,3
1437196067.83019996,5159,5530,3
1437196068.17468786,5175,5522,3
1437196068.44562387,5143,5530,3
1437196068.69564390,5162,5527,3
1437196069.10875201,5156,5527,3
1437196069.51952386,5136,5517,3
1437196069.93023205,5136,5525,3
1437196070.34333587,5156,5525,3
1437196070.75754404,5149,5525,3
1437196071.20279598,5138,5527,3
1437196071.48785591,5149,5530,3
1437196071.73486805,5183,5527,3
1437196071.96606803,5143,5532,3
1437196072.31722403,5144,5525,3
1437196072.56626391,5164,5530,3
1437196072.79942799,5136,5525,3
1437196073.14750791,5172,5517,3
1437196073.69479203,5143,5522,3
1437196074.10891199,5175,5539,3
1437196074.52513194,5175,5527,3
1437196075.03338003,5151,5532,3
1437196075.51746798,5194,5525,3
1437196075.93173599,5127,5525,3
1437196076.34512401,5169,5549,3
1437196076.75999594,5175,5527,3
1437196077.08122396,5157,5532,3
1437196077.43919992,5143,5522,3
1437196077.99953985,5143,5527,3
1437196078.35768795,5182,5530,3
1437196078.58780384,5149,5520,3
1437196078.86696792,5169,5525,3
1437196079.15102792,5146,5527,3
1437196079.65519190,5178,5527,3
1437196079.92852402,5177,5527,3
1437196080.49155593,5151,5522,3
1437196080.73883605,5169,5527,3
1437196081.14505601,5175,5532,3
1437196081.48054385,5172,5525,3
